year,make,model,trim,bolt_pattern,center_bore_mm,thread_size,seat_type,offset_min_mm,offset_max_mm,source,confidence,source_notes
2018,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2017,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2016,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2015,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2014,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2013,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2012,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2011,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2010,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
# Chevrolet Tahoe (5th Gen: 2021-2025)
2025,Chevrolet,Tahoe,Base,6x139.7,78.1,M14x1.5,conical,15,44,manufacturer_spec,high,OEM specification
2024,Chevrolet,Tahoe,Base,6x139.7,78.1,M14x1.5,conical,15,44,manufacturer_spec,high,OEM specification
2023,Chevrolet,Tahoe,Base,6x139.7,78.1,M14x1.5,conical,15,44,manufacturer_spec,high,OEM specification
2022,Chevrolet,Tahoe,Base,6x139.7,78.1,M14x1.5,conical,15,44,manufacturer_spec,high,OEM specification
2021,Chevrolet,Tahoe,Base,6x139.7,78.1,M14x1.5,conical,15,44,manufacturer_spec,high,OEM specification
# Ford Bronco (6th Gen: 2021-2025)
2025,Ford,Bronco,Base,6x139.7,93.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2024,Ford,Bronco,Base,6x139.7,93.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2023,Ford,Bronco,Base,6x139.7,93.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2022,Ford,Bronco,Base,6x139.7,93.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2021,Ford,Bronco,Base,6x139.7,93.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
# Ford Ranger (6th Gen: 2019-2025)
2025,Ford,Ranger,Base,6x139.7,93.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2024,Ford,Ranger,Base,6x139.7,93.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2023,Ford,Ranger,Base,6x139.7,93.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2022,Ford,Ranger,Base,6x139.7,93.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2021,Ford,Ranger,Base,6x139.7,93.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2020,Ford,Ranger,Base,6x139.7,93.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2019,Ford,Ranger,Base,6x139.7,93.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
# Subaru Outback (6th Gen: 2020-2025)
2025,Subaru,Outback,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2024,Subaru,Outback,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2023,Subaru,Outback,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2022,Subaru,Outback,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2021,Subaru,Outback,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2020,Subaru,Outback,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
# Subaru Forester (5th Gen: 2019-2025)
2025,Subaru,Forester,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2024,Subaru,Forester,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2023,Subaru,Forester,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2022,Subaru,Forester,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2021,Subaru,Forester,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2020,Subaru,Forester,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
2019,Subaru,Forester,Base,5x114.3,56.1,M12x1.25,conical,45,55,manufacturer_spec,high,OEM specification
# Toyota Highlander (4th Gen: 2020-2025)
2025,Toyota,Highlander,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2024,Toyota,Highlander,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2023,Toyota,Highlander,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2022,Toyota,Highlander,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2021,Toyota,Highlander,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2020,Toyota,Highlander,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
